Category,Category_Description,Column,Description
Demographics,Demographics describes the information relating to the population of people and the groups within it,County,Name of the county
Demographics,Demographics describes the information relating to the population of people and the groups within it,Male population,Male population: Number of males per county
Demographics,Demographics describes the information relating to the population of people and the groups within it,Female population,Female population: Number of females per county
Demographics,Demographics describes the information relating to the population of people and the groups within it,Intersex population,Intersex population: Number of intersex per county
Demographics,Demographics describes the information relating to the population of people and the groups within it,Total population,Total Population: Total number of people per county
Demographics,Demographics describes the information relating to the population of people and the groups within it,Number of households,Number of households: Number of groups of several persons who live in the same dwelling and share meals presented per county in Kenya.
Demographics,Demographics describes the information relating to the population of people and the groups within it,Average household size,Average household size: The mean household size per county
Demographics,Demographics describes the information relating to the population of people and the groups within it,Land area(sq. Km),Land area(sq. Km): Area of each county in square kilometres
Demographics,Demographics describes the information relating to the population of people and the groups within it,Population density (no. per sq. Km),Population density (no. per sq. Km): Population per square kilometre
Energy,"Energy is defined as power derived from the utilization of physical or chemical resources, especially to provide light and heat or to work machines. In Kenya, oil remains by far the dominant fuel in end-use sectors. Other types of energy sources include e",County,Name of the county
Energy,"Energy is defined as power derived from the utilization of physical or chemical resources, especially to provide light and heat or to work machines. In Kenya, oil remains by far the dominant fuel in end-use sectors. Other types of energy sources include electrical energy of which 52.1% comes from hydro, 32.5% of the fuel from the fossil, 13.2% is through geothermal, 1.8% of biogas generation, and 0.4% of wind. Firewood is also used by many households in the rural areas of Kenya. The data presented in this category includes the use of energy sourced from different products for specific uses ",Cooking_firewood(%),Percentage of households using firewood as main source for cooking
Energy,"Energy is defined as power derived from the utilization of physical or chemical resources, especially to provide light and heat or to work machines. In Kenya, oil remains by far the dominant fuel in end-use sectors. Other types of energy sources include electrical energy of which 52.1% comes from hydro, 32.5% of the fuel from the fossil, 13.2% is through geothermal, 1.8% of biogas generation, and 0.4% of wind. Firewood is also used by many households in the rural areas of Kenya. The data presented in this category includes the use of energy sourced from different products for specific uses ",Cooking_electricity(%),Percentage of households using electricity as main source for cooking
Energy,"Energy is defined as power derived from the utilization of physical or chemical resources, especially to provide light and heat or to work machines. In Kenya, oil remains by far the dominant fuel in end-use sectors. Other types of energy sources include electrical energy of which 52.1% comes from hydro, 32.5% of the fuel from the fossil, 13.2% is through geothermal, 1.8% of biogas generation, and 0.4% of wind. Firewood is also used by many households in the rural areas of Kenya. The data presented in this category includes the use of energy sourced from different products for specific uses ",Cooking_liquified petroleum gas (lpg)(%),Percentage of households using LPG as main source for cooking
Energy,"Energy is defined as power derived from the utilization of physical or chemical resources, especially to provide light and heat or to work machines. In Kenya, oil remains by far the dominant fuel in end-use sectors. Other types of energy sources include electrical energy of which 52.1% comes from hydro, 32.5% of the fuel from the fossil, 13.2% is through geothermal, 1.8% of biogas generation, and 0.4% of wind. Firewood is also used by many households in the rural areas of Kenya. The data presented in this category includes the use of energy sourced from different products for specific uses ",Cooking_biogas(%),Percentage of households using biogas as main source for cooking
Energy,"Energy is defined as power derived from the utilization of physical or chemical resources, especially to provide light and heat or to work machines. In Kenya, oil remains by far the dominant fuel in end-use sectors. Other types of energy sources include electrical energy of which 52.1% comes from hydro, 32.5% of the fuel from the fossil, 13.2% is through geothermal, 1.8% of biogas generation, and 0.4% of wind. Firewood is also used by many households in the rural areas of Kenya. The data presented in this category includes the use of energy sourced from different products for specific uses ",Cooking_kerosene(%),Percentage of households using kerosene as main source for cooking
Energy,"Energy is defined as power derived from the utilization of physical or chemical resources, especially to provide light and heat or to work machines. In Kenya, oil remains by far the dominant fuel in end-use sectors. Other types of energy sources include electrical energy of which 52.1% comes from hydro, 32.5% of the fuel from the fossil, 13.2% is through geothermal, 1.8% of biogas generation, and 0.4% of wind. Firewood is also used by many households in the rural areas of Kenya. The data presented in this category includes the use of energy sourced from different products for specific uses ",Cooking_charcoal(%),Percentage of households using charcoal as main source for cooking
Energy,"Energy is defined as power derived from the utilization of physical or chemical resources, especially to provide light and heat or to work machines. In Kenya, oil remains by far the dominant fuel in end-use sectors. Other types of energy sources include electrical energy of which 52.1% comes from hydro, 32.5% of the fuel from the fossil, 13.2% is through geothermal, 1.8% of biogas generation, and 0.4% of wind. Firewood is also used by many households in the rural areas of Kenya. The data presented in this category includes the use of energy sourced from different products for specific uses ",Cooking_straw shrubs grass(%),"Percentage of households using straw, shrubs and grass as main energy source for cooking"
Energy,"Energy is defined as power derived from the utilization of physical or chemical resources, especially to provide light and heat or to work machines. In Kenya, oil remains by far the dominant fuel in end-use sectors. Other types of energy sources include electrical energy of which 52.1% comes from hydro, 32.5% of the fuel from the fossil, 13.2% is through geothermal, 1.8% of biogas generation, and 0.4% of wind. Firewood is also used by many households in the rural areas of Kenya. The data presented in this category includes the use of energy sourced from different products for specific uses ",Cooking_animal dung(%),Percentage of households using animal dung as main energy source for cooking
Energy,"Energy is defined as power derived from the utilization of physical or chemical resources, especially to provide light and heat or to work machines. In Kenya, oil remains by far the dominant fuel in end-use sectors. Other types of energy sources include electrical energy of which 52.1% comes from hydro, 32.5% of the fuel from the fossil, 13.2% is through geothermal, 1.8% of biogas generation, and 0.4% of wind. Firewood is also used by many households in the rural areas of Kenya. The data presented in this category includes the use of energy sourced from different products for specific uses ",Cooking_agricultural crop residue(%),Percentage of households using crop residue as main energy source for cooking
Energy,"Energy is defined as power derived from the utilization of physical or chemical resources, especially to provide light and heat or to work machines. In Kenya, oil remains by far the dominant fuel in end-use sectors. Other types of energy sources include electrical energy of which 52.1% comes from hydro, 32.5% of the fuel from the fossil, 13.2% is through geothermal, 1.8% of biogas generation, and 0.4% of wind. Firewood is also used by many households in the rural areas of Kenya. The data presented in this category includes the use of energy sourced from different products for specific uses ",Cooking_other(%),Percentage of households using other methods as main energy source for cooking
Energy,"Energy is defined as power derived from the utilization of physical or chemical resources, especially to provide light and heat or to work machines. In Kenya, oil remains by far the dominant fuel in end-use sectors. Other types of energy sources include electrical energy of which 52.1% comes from hydro, 32.5% of the fuel from the fossil, 13.2% is through geothermal, 1.8% of biogas generation, and 0.4% of wind. Firewood is also used by many households in the rural areas of Kenya. The data presented in this category includes the use of energy sourced from different products for specific uses ",Cooking_number of households ('000),Total number of households per county
Energy,"Energy is defined as power derived from the utilization of physical or chemical resources, especially to provide light and heat or to work machines. In Kenya, oil remains by far the dominant fuel in end-use sectors. Other types of energy sources include electrical energy of which 52.1% comes from hydro, 32.5% of the fuel from the fossil, 13.2% is through geothermal, 1.8% of biogas generation, and 0.4% of wind. Firewood is also used by many households in the rural areas of Kenya. The data presented in this category includes the use of energy sourced from different products for specific uses ",Lighting_electricity connection from mains(%),Percentage of households with electricity connection from main line
Energy,"Energy is defined as power derived from the utilization of physical or chemical resources, especially to provide light and heat or to work machines. In Kenya, oil remains by far the dominant fuel in end-use sectors. Other types of energy sources include electrical energy of which 52.1% comes from hydro, 32.5% of the fuel from the fossil, 13.2% is through geothermal, 1.8% of biogas generation, and 0.4% of wind. Firewood is also used by many households in the rural areas of Kenya. The data presented in this category includes the use of energy sourced from different products for specific uses ",Lighting_generator(%),Percentage of households using generators as source of electricity per county
