ID,County,Floor_Total households,Floor_Cement(%),Floor_Tiles(%),Floor_Wood(%),Floor_Earth(%),Floor_Other(%),Wall_Total households,Wall_Stone(%),Wall_Brick/block(%),Wall_Mud/wood(%),Wall_Mud/cement(%),Wall_Wood only(%),Wall_Corrugated iron sheets(%),Wall_Grass/reeds(%),Wall_Tin(%),Wall_Other(%),Roof_Total households,Roof_Corrugated iron sheet(%),Roof_Tiles(%),Roof_Concrete(%),Roof_Asbestos sheets(%),Roof_Grass(%),Roof_Makuti(%),Roof_Tin(%),Roof_Mud/dung(%),Roof_Other(%)
1,Baringo,121966,36.2,0.3,0.6,62.9,NA,121966,2.8,6.3,49.7,2.8,23.6,12.9,NA,0.9,1.1,121966,71,0.5,NA,0.3,26.5,1.6,0,NA,NA
2,Bomet,156634,18.1,0.4,3.9,77.6,NA,156634,4.5,4.5,75.5,1.4,13.3,0.2,NA,NA,0.6,156634,75,NA,0.9,0.8,21.9,0.4,NA,NA,0.9
3,Bungoma,339915,32.6,1.3,NA,65.4,0.7,339915,6.9,20.6,64.9,4.2,0.8,0.8,0.6,NA,1.1,339915,87.5,NA,0.2,1.7,9.2,NA,NA,NA,1.5
4,Busia,107393,24.2,0.5,0.5,73.5,1.3,107393,5.3,12,75.1,6.1,NA,0.8,NA,NA,0.6,107393,50.6,NA,NA,0.2,46.4,1.8,NA,NA,1
5,Elgeyo-Marakwet,85344,26.2,0.9,0.7,72.2,NA,85344,3.7,12.3,54,0.8,22.6,2.7,NA,0.4,3.6,85344,68.1,NA,1.2,0.8,26.5,1.1,NA,0.3,2
6,Embu,138003,48.7,1.5,0.7,47.8,1.3,138003,26.1,20.8,29,1.6,19.1,1.8,1.2,NA,0.3,138003,92.2,1.5,0.5,0.6,5.2,NA,NA,NA,NA
7,Garissa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Homa Bay,220807,29.3,2.8,0.9,66.4,0.6,220807,5.1,9.3,64.5,16,0.3,3,0.2,1.6,NA,220807,61.8,0.1,0.3,0.1,3.6,0.2,33.3,0.1,0.5
9,Isiolo,33166,37.4,3.9,NA,57.8,0.9,33166,15.1,8.2,35,14.8,19.1,1.7,4.9,0.3,0.9,33166,72.6,0.7,0.7,1.4,19,3.9,0.4,1.3,NA
10,Kajiado,191919,61.8,3.4,0.4,33.9,0.6,191919,30.2,2.3,18.9,0.7,11.1,33.6,NA,0.4,2.7,191919,82.4,0.1,1.9,0.3,8.1,2.1,NA,2.7,2.5
11,Kakamega,376748,21.1,0.5,0.3,78.1,NA,376748,5.3,8.6,79.7,5.9,0,NA,0.5,NA,NA,376748,86.7,NA,0.1,0.1,12.1,1,NA,0.1,NA
12,Kericho,180841,58.6,1.1,0.9,39.3,NA,180841,21.3,14.8,33.4,0.8,18.2,11.4,NA,NA,NA,180841,96.1,1.3,1,NA,0.9,0.8,NA,NA,NA
13,Kiambu,500472,81.7,4.5,0.9,12.1,0.8,500472,68.6,0.7,1.5,2.8,8.5,17,NA,0.4,0.6,500472,83,3.5,10.9,0.9,0.1,1.5,NA,NA,0.1
14,Kilifi,221008,30.1,2,0.3,67.2,0.4,221008,23.6,7.6,48.4,6.4,0.1,0.2,13.3,0.2,0.3,221008,43.7,0.4,2.7,NA,21.1,32,0.1,NA,NA
15,Kirinyaga,165031,42.9,0.3,NA,56.8,NA,165031,28.3,25.6,7.3,1.5,33.7,3.6,NA,NA,NA,165031,97.4,0.8,1.7,NA,NA,NA,NA,NA,NA
16,Kisii,262652,24.7,0.8,0.7,73.4,0.3,262652,0.9,20.8,72.6,5.1,NA,0.2,0.5,NA,NA,262652,84.8,0.1,0.5,0.6,6.8,7.2,NA,NA,NA
17,Kisumu,244529,48.2,1.6,0.4,49.6,0.2,244529,7.9,18.6,50.9,18.5,0.2,3.4,NA,NA,0.6,244529,92.1,0.8,0.7,3,3,0.2,NA,NA,0.3
18,Kitui,215060,33.4,1.7,0.4,64.5,NA,215060,3.1,74.9,21.7,NA,NA,0.3,NA,NA,NA,215060,85.1,0.9,NA,NA,13.7,0.3,NA,NA,NA
19,Kwale,134826,36,0.3,1.1,62.7,NA,134826,29.8,2.4,53.7,12.1,NA,0,1.1,NA,0.9,134826,45.4,0.7,0.8,0.1,10.3,42.6,NA,NA,NA
