ID,County,Men_can read a whole sentence,Men_can read part of a sentence,Men_cannot read at all,Men_blind/visually impaired,Men_percentage literate,Women_can read a whole sentence,Women_can read part of a sentence,Women_cannot read at all,Women_blind/visually impaired,Women_percentage literate,Literacy,Men_no education,Men_some primary,Men_completed primary,Men_some secondary,Men_completed secondary,Men_more than secondary,Men_median years completed,Women_no education,Women_some primary,Women_completed primary,Women_some secondary,Women_completed secondary,Women_more than secondary,Women_median years completed
1,Baringo,35.7,5.1,14.5,0.7,84.9,37.9,12.3,12.3,0.3,86.3,85.6,5.9,33.3,16.7,15.3,20.1,8.7,7.6,9.3,30,24.5,15,12.1,9,7.4
2,Bomet,35.8,17.5,7.1,0,92.9,41.1,14.2,10.4,0.1,89.4,91.15,0,33.1,27.2,14.4,18.1,7.2,7.6,0.4,39.8,25.7,14.3,11.5,8.2,7.3
3,Bungoma,39.3,2.7,19.8,0,79.5,38.4,12.2,10.5,0.3,88.7,84.1,0.4,45.2,16.9,17.9,11.5,8.1,7.2,0.9,41.2,19.8,20.7,10.3,7.2,7.3
4,Busia,43.7,1.4,18.7,0,81.3,44.2,17.2,12.3,0.7,87,84.15,1.1,45.7,16.9,18.1,12.4,5.8,7.1,6.6,51.6,16.1,14.3,6,5.2,6.5
5,Elgeyo-Marakwet,41.8,5,4.1,0,95.5,48.5,5.9,3,0.1,96.8,96.15,0.2,24.4,26.6,13.3,21.4,14.1,7.9,1.2,27.7,28.6,14.4,15,13,7.7
6,Embu,44.3,9.8,7.8,0,92.2,47.5,7,4.4,0,95.4,93.8,1,33.6,27.4,16.6,12.2,9.3,7.5,1.3,28.6,29.2,16.6,13.7,10.6,7.6
7,Garissa,28.2,11.1,27.8,0,72.2,7.3,7.1,73.2,0.2,26.3,49.25,33.2,16.2,17.7,12.6,12.1,8.2,7,72.7,9.6,5.7,4.4,3.6,4,0
8,Homa Bay,49.4,1.5,9.8,1,88.8,45.1,17.6,5.6,0.6,93.8,91.3,0,35,27.1,18.2,12,7.8,7.4,1.1,39.7,28.1,18.2,8.9,4,7.3
9,Isiolo,27.7,22.3,12.1,0,87.9,23.8,14.4,42,0,58,72.95,11.3,29.7,21.1,12.5,21.9,3.5,7.4,39.7,22.5,18.1,6,8.7,5,5
10,Kajiado,21.3,5.9,10.7,0,89.3,28,3.9,16.7,0,83.1,86.2,4.8,17.2,15.9,16.1,17.3,28.7,10,18,12.8,17.9,14.1,17,20.2,8
11,Kakamega,47,5.7,5.9,0,94.1,48.5,4.8,6.8,1.1,92.1,93.1,1.6,41.3,15.8,21.5,9.9,9.9,7.3,4,38.7,18.5,20.3,10.5,8.1,7.3
12,Kericho,44.7,7.6,2.6,0,97.1,34.3,12.3,9.8,0.7,89.3,93.2,0,32.9,22.2,16.8,16.2,11.9,7.7,0.3,32,24.9,15.6,16.3,10.8,7.6
13,Kiambu,26.2,3.5,1.8,0,98.2,26.5,7.6,3.2,0,95.8,97,0,12.2,19.3,21.4,29.3,17.8,10.5,0.5,9.9,27.9,15.9,22.4,23.3,10.1
14,Kilifi,54.1,1.9,5.5,0,94.1,43.4,5.4,24.9,0,75.1,84.6,2.6,34.4,24.9,15.9,13.5,8.7,7.4,20.4,34.1,19.3,10.5,11.4,4.4,6.4
15,Kirinyaga,45,5.8,6.3,0,93.7,46.6,3.5,7.6,0,91.5,92.6,0.7,27.7,28.8,14.8,20.5,7.6,7.7,0.8,28,29.8,15,21.1,5.4,7.7
16,Kisii,27.8,10.1,3.4,0,96.6,32.2,10.7,8.4,0.3,91.2,93.9,0.4,23.3,17.7,21.8,22.1,14.8,8.9,0.9,28.8,22,19.1,19.2,10,7.8
17,Kisumu,28,14,1.9,0.2,97.9,35.7,6.5,6.8,0.4,92.6,95.25,0.7,19.6,23.8,21.3,12.8,21.8,8.3,1.2,23.7,24.7,20.8,16.2,13.4,7.9
18,Kitui,43.7,11.9,15.3,0,84.7,47.6,17.9,8.3,0,91.7,88.2,2.7,44.8,23.3,15.5,9.2,4.4,7,3.9,35.4,34.4,12.9,8.7,4.6,7.3
19,Kwale,42.1,11.6,12.4,0,87.6,45.3,7.6,26.4,0.2,72.7,80.15,7.8,38.7,19.6,11.2,14.1,8.7,7.1,21.7,35,23.5,6.9,8.5,4.4,6.1
20,Laikipia,29.7,2.2,11.4,0,88.6,33.4,7.5,16.7,0,83,85.8,2.6,25.1,15.5,22.1,19.4,15.3,8,13.4,19.8,24.7,14.9,14.9,12.3,7.6
21,Lamu,48.3,4.2,12.4,0.6,87.1,51.5,9.9,15.6,0.1,84.2,85.65,5.8,41.2,18.4,11.2,9.6,13.7,7,17,39.1,21,10.4,6.2,6.3,6.4
22,Machakos,47.3,4.6,1.4,0,98.6,40.8,7.5,3.9,0.8,95.3,96.95,0.3,21.4,31.6,12.5,24.3,10,7.8,0.2,15.9,36.9,20.1,16.5,10.4,7.8
23,Makueni,45.4,3.3,4.5,0,95.5,49.3,4.7,3,0,96.9,96.2,0.3,24.4,28.5,20,17.1,9.7,7.8,0.9,21.6,34.6,24,10.4,8.5,7.7
24,Mandera,32.7,7.9,37.4,0,62.2,6.7,7.4,75.7,0,24,43.1,41.2,25.3,11.8,13,6.5,2.1,5.2,75.9,10.4,3.7,3.6,4.3,2,0
25,Marsabit,7.1,20.8,36.4,0,63.6,13.3,10.5,64.5,0,35.5,49.55,35.7,18.6,10,7.7,15.4,12.6,6.3,61.9,16,10.3,5,4.3,2.4,0
26,Meru,52.1,3.9,9.6,0,90.4,41.8,13.3,13.9,0,86.1,88.25,4.7,35.7,25.3,10.4,14.9,9,7.3,4.1,37.4,27.5,11.1,11,9,7.2
27,Migori,51.9,8.5,7.1,0,92.9,51.8,10.3,13.2,0.8,85.7,89.3,0.8,42.5,24.3,14.4,12.9,5.3,7.2,2.6,49.9,24,14.2,6.7,2.6,6.8
28,Mombasa,40.4,2.4,1.1,0,98.9,39.2,4.9,6.5,0.2,92.6,95.75,2.5,10,31.3,16.8,25.9,13.4,9.1,5.8,18.8,26.9,15,23.6,9.9,7.9
29,Murang'a,37.5,4.1,9.3,0,90.7,38.9,5.9,5.8,0.3,93.9,92.3,0.8,22.5,27.7,24.6,16.8,7.8,7.9,1.6,19.4,29.9,20.8,20.7,7.6,7.9
30,Nairobi,22.4,3.3,1.4,0,98.6,24.8,5.6,3,0.2,96.5,97.55,0,9.4,17.7,13.7,29.1,30.1,11.3,1.7,8.9,23.4,14.7,27.9,23.5,11
31,Nakuru,31.2,8.6,4.7,0,95.3,34.6,6.1,5.6,0,94,94.65,1.9,16.3,26.2,17,19.4,19.2,9.2,1.9,14.7,30.1,19,19.2,15.2,8.3
32,Nandi,39.2,14.8,5.9,0,94.1,47.3,13.6,1.4,0.2,98.4,96.25,0.3,33.3,26.3,9.7,18.9,11.5,7.6,0.8,37.8,23.9,16.6,12.6,8.3,7.4
33,Narok,22.6,25.9,17.9,0,81.1,40.4,4.6,25.9,0.1,74,77.55,13,32.8,21.5,11,14,7.7,7.2,15.5,38.2,17.3,12,10.4,6.6,6.6
34,Nyamira,13.6,21.4,0,0.3,99.7,26.9,15.5,1.5,0,98.2,98.95,0,14.1,21.2,19.3,23.6,21.8,10.2,0.8,17.8,25.6,21.9,23.9,10,9.1
35,Nyandarua,36.9,10.1,2.9,0,97,47.6,3.7,5.1,0.2,94.3,95.65,0.4,17.8,31.7,22.5,21.4,6.2,7.9,0.8,17.1,39.1,18,18.6,6.4,7.8
36,Nyeri,29.4,5.6,4,0.4,95.6,31.9,4.7,3.7,0,96.3,95.95,0.2,8.6,30.7,20.6,24.1,15.9,9.3,1.1,11.5,27.8,21.1,24.2,14.3,9.2
37,Samburu,22,13.3,29.2,0,70.8,12.9,11.2,59.3,0,40.1,55.45,25.9,25.2,13.4,11.9,12.5,11.1,6.8,55.7,21.1,7.3,5.2,5.4,5.4,0
38,Siaya,46.6,6.5,4.4,0,95.4,46.5,11.3,8.1,0,91.5,93.45,0.7,33.9,23,20.2,14.4,7.8,7.5,1.9,35.7,28.6,18.6,9.5,5.6,7.4
39,Taita Taveta,46.3,3.2,4.3,0.4,94.8,52.4,3,3.7,0,96.1,95.45,0,20.6,34.1,9.6,22.7,13.1,7.8,2.3,22.6,34.5,13.3,21.1,6.2,7.7
40,Tana River,50.8,6.6,18.8,0.4,80.8,34.9,7,45,1.4,53.5,67.15,18.2,33.3,25.2,5.1,13.6,4.7,6.8,41.7,33.3,13.5,5.6,4.1,1.8,2.4
41,Tharaka-Nithi,47.1,2.3,9.5,0,90.5,40.2,10.1,15.2,0.2,84.1,87.3,2,38.9,18,17.3,12.5,11.4,7.4,2,35.8,28.4,12.9,12.3,8.5,7.4
42,Trans-Nzoia,45.3,3.9,12.1,0,87.9,43.9,6.5,14.2,0.1,85.6,86.75,2,34.9,24.3,15.5,14.6,8.7,7.5,2.6,39.3,22.9,19.2,10.8,5.2,7.3
