ID,County,Value chain,Value chain stage,Key activities,Who is involved,Input supply (key activities importance),Input supply (key activities location in the country)
1,Busia,Cassava,Input supply,Land acquisition,Farmers,for crop establishment,across busia county
2,Busia,Local Poultry (meat),Input supply,housing and equipment,"farmer groups,fundi","for better production,comfort",evenly distributed in the county especially in homes that keep chicken for commercial purposes
3,Busia,Maize,Input supply,Land,"farmers,leaser",Basic production,countrywide
4,Busia,Sorghum,Input supply,Land,Farmers,main factor of production,all over the county
5,Nyeri,Banana,Input supply,supply of clean improved planting materials,"department of agriculture,research institutions,licensed nurseries i.e aberdare tech,farmers,farmers groups","to increase production,reduce cost of production,improved quality",both within and outside the county
6,Nyeri,Dairy cow,Input supply,Feeds,"agrodealers,farmers,feed millers","for maintenance,for improved productivity,for high returns","karatina,othaya,Mukurweni,Nyeri town,millers-maisha,kiganjo,mukurweni"
7,Nyeri,Irish Potatoes,Input supply,Fertilizer,"NCPB,agrovets",,towns and markets
8,Nyeri,Local poultry,Input supply,Veterinary services,"farmers,vet officer","to maintain them in good habit,diseases control,improved productivity",within nyeri central
9,Makueni,Dairy cow,Input supply,Feeds,farmers and stockists,good feeding ensures good health of the cow and optimal milk production,"mbooni sub county,Kaiti,Makueni,Kilome,Kibwezi east and west"
10,Makueni,Green grams,Input supply,Acquisition of seeds,"farmers,stockists,seed companies","without seed no crop,certified seed is for higher yields","kenya seed ,available at local stockists,dryland seed"
11,Makueni,Local poultry,Input supply,Housing,Farmers,management and security of the chicken,Countywide
12,Makueni,Mango,Input supply,pesticide use,"agovets,service providers,extension services and the farmers",it is important for pest control and quality control,Across the county
13,Nakuru,Dairy cow,Input supply,Breeding,"farmers,ai providers,extension services,breeders, breeders associations,researchers",quality breeds(high breed),"farm,ministry/private sector, some designated areas in the county,nakuru"
14,Nakuru,Irish Potatoes,Input supply,acquisition of planting materials/fertiliser/manure,"farmers,seeds merchants/seed multiplies,ADC(agric develop corporation,KARLO researchers,CIP(international potato centre),Agro dealers","improved productivity,requires clean seeds,disease free seeds reduce cost of production, to develop disease resistant varieties, allows access to basic agriculture input","farm level in sub counties,ADC molo clean seeds, karlo keringet certified seed,agodealers"
15,Nakuru,Local poultry,Input supply,Feeds,"manufacturers,agrovets",to ensure continuous supply of feeds,Across the county
16,Nakuru,Maize,Input supply,Seed/planting material,man,seed determines the yield i.e good quality seed willl give higher  volume and poor quality seed will give poor yields(when other farmers remain constant),the whole county and all the sub counties
17,Taita Taveta,Banana,Input supply,Financial capital,farmers and financial institutions,"it will facilitate acquiring planting materials,labor,payments,procure manure",the entire county
18,Taita Taveta,Dairy cow,Input supply,artificial insemination,"county government,inseminators",improve the breeds,Entire county
19,Taita Taveta,Maize,Input supply,Extension advice,respective extension officers,knowledge acquisition to make the appropriate decisions,countywide(farm specific)
20,Taita Taveta,Goat (meat),Input supply,acquiring of improved bucks for breeding,"county government,gicheha farm,research institutions",to increase productivity,Entire county
21,Siaya,Beans,Input supply,Land,Farmers,It’s a factor of production,Entire county
22,Siaya,Sorghum,Input supply,Land,Farmers,to ensure productivity takes place,entire siaya county
23,Siaya,Maize,Input supply,Land,Farmers,its the main factor of production,all over the county
24,Siaya,Local poultry,Input supply,House,"farmers,service providers and hardware stores",disease control-security i.e predators,on farm or homestead
