ID,County,Crop,Total farming area 2013 (1000 ha),Total farming area 2014 (1000 ha),Total harvested quantity 2013 (1000 tonnes),Total harvested quantity 2014 (1000 tonnes),Number of crops
1,Baringo,Asparagus,NA,NA,NA,NA,NA
2,Baringo,Stevia,NA,NA,NA,NA,NA
3,Baringo,Straw berries,NA,NA,NA,NA,NA
4,Baringo,Sugarcane,NA,NA,NA,NA,NA
5,Baringo,White sapote,NA,NA,NA,NA,NA
6,Baringo,Yam,NA,NA,NA,NA,NA
7,Baringo,Water melon,0.384,0.462,0.356,0.67,63
8,Baringo,Sunflower,NA,NA,NA,NA,NA
9,Baringo,Sweet potato,0.172,0.361,1.137,1.146,63
10,Baringo,Onions,0.048,0.05,0.237,0.246,63
11,Baringo,Arrow roots,NA,NA,NA,NA,NA
12,Baringo,Wheat,0,0.004,0,0.007,63
13,Baringo,Apple,0.014,0.01,0.083,0.08,63
14,Baringo,Arabicum,NA,NA,NA,NA,NA
15,Baringo,Bambara nuts,NA,NA,NA,NA,NA
16,Baringo,Roses,0.057,0.061,0.008,0.012,63
17,Baringo,Avocado,NA,NA,NA,NA,NA
18,Baringo,Babycorn-maize,NA,NA,NA,NA,NA
19,Baringo,Beetroot,NA,NA,NA,NA,NA
20,Baringo,Bixa,NA,NA,NA,NA,NA
21,Baringo,Broccoli,NA,NA,NA,NA,NA
22,Baringo,Butternut,0.027,0.033,0.025,0.032,63
23,Baringo,Cabbages,0.058,0.064,0.673,0.74,63
24,Baringo,Carnations,NA,NA,NA,NA,NA
25,Baringo,Carrot,0.043,0.043,0.388,0.396,63
26,Baringo,Cashwenut,NA,NA,NA,NA,NA
27,Baringo,Cassava,0.138,0.118,1.131,2.297,63
28,Baringo,Cauliflower,NA,NA,NA,NA,NA
29,Baringo,Tangerine,0.001,0.001,0.004,0.005,63
30,Baringo,Tea,NA,NA,NA,NA,NA
31,Baringo,Tindori,NA,NA,NA,NA,NA
32,Baringo,Tomato,0.24,0.302,2.631,2.639,63
33,Baringo,Tree tomato,0.044,0.046,0.197,0.198,63
34,Baringo,Turnip,NA,NA,NA,NA,NA
35,Baringo,Nightshade,0.072,0.08,0.345,0.383,63
36,Baringo,Oats,0.03,0.03,0.221,0.226,63
37,Baringo,Okra,0.02,0.04,0.025,0,63
38,Baringo,Courgettes,NA,NA,NA,NA,NA
39,Baringo,Onions,0.071,0.058,0.607,0.376,63
40,Baringo,Orange,0.054,0.062,0.522,0.677,63
41,Baringo,Passion fruit,0.031,0.031,0.197,0.277,63
42,Baringo,Pawpaw,0.119,0.112,1.072,1.175,63
43,Baringo,Peaches,0.018,0.018,0.024,0.024,63
44,Baringo,Pears,0.008,0.007,0.017,0.017,63
45,Baringo,Absolutecare lily/bells,NA,NA,NA,NA,NA
46,Baringo,Aloe vera,0.008,0.006,0.024,0.006,63
47,Baringo,Amaranth,0.004,0.004,0.014,0.015,63
48,Baringo,Amaranth,0.004,0.004,0.014,0.016,63
49,Baringo,Amaranth,0.001,0.001,0.001,0.001,63
50,Baringo,Pineapples,NA,NA,NA,NA,NA
51,Baringo,Plums,0.017,0.017,0.034,0.036,63
52,Baringo,Radish,NA,NA,NA,NA,NA
53,Baringo,Rice,0.2,0.04,0.054,0.09,63
54,Baringo,Russiancomfrey_mafaki,NA,NA,NA,NA,NA
55,Baringo,Scabiosa,NA,NA,NA,NA,NA
56,Baringo,Simsim,NA,NA,NA,NA,NA
57,Baringo,Bananas,0.263,0.303,3.683,4.419,63
58,Baringo,Beans,17.756,17.788,15.123,15.156,63
59,Baringo,Kales,0.185,0.257,1.034,1.56,63
60,Baringo,Karella,0.006,0.003,0.026,0.009,63
61,Baringo,Leeks,0.008,0,0.84,0,63
62,Baringo,Lemon,0.062,0.067,0.247,0.352,63
63,Baringo,Lettuce,NA,NA,NA,NA,NA
64,Baringo,Lime,NA,NA,NA,NA,NA
