ID,County,Value chain,Value chain stage,Hazard,Severity,Consequences,Ongoing adaptations,Potential adaptations
1,Baringo,Indigenous chicken,Post harvest,High temperatures,Major,"Less research activities thus low market information, low quality and size of products (chickens and eggs)","Wholesales of all chicken, home consumption, home slaughter/ slaughter at the market","Create and encourage use of market information systems, capacity building on grading and sorting for slaughter and sales, establish cold storage facilities"
2,Baringo,Maize,Input supply,Moisture stress,Moderate,"Selection/ packaging of information be passed/disseminated on the most appropriate varieties, affects timely application of inputs e.g fertilizer and pest and disease control","Holistic approach to dissemination of information, use of organic manure, copy practices from neighbouring farmers","Enhanced and build on synergy from relevant departments, increase the frequency of disseminating weather forecast information"
3,Baringo,Indigenous chicken,Post harvest,Drought spell,Moderate,"Theres low market research, there will be less feed for the activity, high cost of transportation due to low volumes","Sales to local markets, home slaughter or slaughter at the market, using small transporters eg. Bodaboda","Institutional support on market research, alternative transport means, value addition alternatives, capacity building on timely off take at good body conditions/ egg quality  "
4,Baringo,Dairy cow,Post harvest,Moderate increase in temperature,Major,"Increase in cost of bulking due to decrease in volume of milk, increase in transportation cost, milk spoilage","Become a member of groups/cooperatives, private means of transportation, use of jerry cans, use of cold water for cooling ","Strengthening cooperative societies through funding, developing an organised system of transportation, boost in cooling plants, capacity building on milk hygiene /pasteurization"
5,Baringo,Goat (meat),Input supply,Moderate decrease in intense rain,Minor,"Increase in frequency of dipping and other routind practices slight increase in cases of vaccination especially cases of ccpp, increase demand for extension services by farmers","Use of local herbs, hand picking of ticks, burning of bush/grazing land use of local indigenous knowledge on disease control, isolation of affected herd, indigenous knowledge on livestock husbandry","County government subsidies for vaccines, acaricides, land demacartion to control animal grazing, community disease surveillance, increase number of extension staff"
6,Baringo,Goat (meat),Input supply,Moderate increase in temperature,Minor,"Increase in dipping frequency, slight increase in disease outbreaks especially ccpp, increased demand in veterinary services","Hand picking of ticks, biological control(use of chicken), burning of tick breeding grounds, herbal medicine and isolation of sick animals","Encourage demarcation of land to discourage communal grazing, county subsidizing of vaccinations and accaricides, enforcement of vaccination regimes, employment of more veterinary officers, facilitation of extension services"
7,Baringo,Goat (meat),Market,Moderate decrease in intense rain,Moderate,"Reduced linkage between producers and traders because of accessibility, decrease in prices of meat goat; decrease promotion activity because of high supply","Marketing(word of mouth, social places, barazas), withholding of meat goat until prices improve","Establish modern marketing information systems (social media), form goat marketing cooperatives, establish formal goat markets, improve road network"
8,Baringo,Goat (meat),Market,Moderate increase in temperature,Moderate,"Linkages between farmers and traders is enhanced due to road accessibilty, fewer goats traded, price fluctuations due to irregular supply","Marketing at public functions(bazaars, ceremonies), withholding of goats from the market until prices improve, exploring alternative livelihoods e.g honey","Developing of goat marketing information sytems including use of social media and WhatsApp, improvement of feeder road network, formation of goat marketing activities"
9,Baringo,Goat (meat),On farm,Moderate decrease in intense rain,Major,"Minimal breeding and irregular heat season for goats hence affecting multiplication, reduced resistance to diseases due to malnutrition, reduced drinking water","Salt licking the animals, use of supplementary feeding, use of local herbs","Supplementary feeding and forage conservation, correct doe buck ratios, encourage modern housing for goats, routine hygiene/management practices."
10,Baringo,Dairy cow,On farm,Moderate increase in temperature,Minor,"Increased demand for vaccination services, low demand for deworming, spraying events are constant","Restriction of movement of dairy animals, use of indigenous knowledge such as herbal medicine, skipping spraying days, hand spraying","Awareness creation through alerts and campaign programmes, establishment of vaccination programmes "
11,Baringo,Dairy cow,On farm,High decrease in rainfall in the 1st season,Moderate,"High demand for vaccination, low demand for deworming","Restricting animal movement, irregular deworming, skipping spraying days; hand spraying, hand dressing","Establishment of vaccination program, awareness by sensitization of farmers by alerts, develop a proper regime for deworming, ensuring maintenance of cattle dips, subsidizing acaricides"
12,Baringo,Dairy cow,Post harvest,High decrease in rainfall in the 1st season,Moderate,"Decrease in milk quantity, cost of transportation increases, reduced volume of milk for processing","Farmers join groups and cooperatives, collection and joint transportation ","Strengthening cooperative societies, investing in proper means of transportation, improved infrastructure road network "
13,Baringo,Indigenous chicken,On farm,High temperatures,Major,"Poor response of chicken to vaccines, inadequate feed availability, low feed intake by chicken thus low productivity, high temperature good for chicks but not for chicken","Observing hygienic standards, use of traditional medicine, offtake of excess chicken, availing alternative feeds e.g left overs, sprinkling water before cleaning the enclosures","Capacity building on disease control methods, enhance easy access to vaccines, provision of feed subsidies, feeding on high ration, highly nutritious feeds to enhance high feed conversion, well designed structures, raised, well aerated"
14,Baringo,Maize,Market,Uncertainty in start of growing season,Major,"Uncertain market prices, poor transport/logistic planning, drastic changes in the commodity price","Group marketing and sales to brokers/traders, farm gate sales to middlemen, waiting for prices to improve","Adoption of cereal banking, farmers to be trained on market research, development of organized marketig groups"
15,Baringo,Maize,On farm,Moisture stress,Moderate,"Reduced land preparation especially primary and secondary ploughing, enhanced control of weeds, plant vigor affected hence the general crop perfomance ","Farmers near the offices are served with first hand information, minimized weeding, conservation agriculture","Capacity building of extension service providers on packaging of climate related information, facilitating the staff for wider outreach, establishment of irrigation schemes, encourage conservation agriculture, avail farm machinery to farmers, application of foliar fertilisers"
